threshold,precision,recall,f1_score,true_positives,false_positives,true_negatives,false_negatives,false_negative_rate
0.1,0.1854,1.0,0.3128,1993,8758,9249,0,0.0
0.15,0.261,0.9995,0.4139,1992,5640,12367,1,0.0005
0.2,0.3556,0.9975,0.5243,1988,3603,14404,5,0.0025
0.25,0.4737,0.9955,0.642,1984,2204,15803,9,0.0045
0.3,0.6055,0.989,0.7511,1971,1284,16723,22,0.011
0.35,0.7228,0.9749,0.8302,1943,745,17262,50,0.0251
0.4,0.824,0.9538,0.8842,1901,406,17601,92,0.0462
0.45,0.899,0.9247,0.9117,1843,207,17800,150,0.0753
0.5,0.9504,0.8751,0.9112,1744,91,17916,249,0.1249
0.55,0.9783,0.8128,0.8879,1620,36,17971,373,0.1872
0.6,0.9905,0.7296,0.8402,1454,14,17993,539,0.2704
0.65,0.996,0.6272,0.7697,1250,5,18002,743,0.3728
0.7,0.999,0.5043,0.6702,1005,1,18006,988,0.4957
0.75,1.0,0.3793,0.55,756,0,18007,1237,0.6207
0.8,1.0,0.2785,0.4356,555,0,18007,1438,0.7215
0.85,1.0,0.1656,0.2841,330,0,18007,1663,0.8344
0.9,1.0,0.0843,0.1555,168,0,18007,1825,0.9157
